prompt,poem,off-topic,no connection,attributional,offset,incoherent,metaphorical
anger is wood,"Thoughts of breeze, my anger is teaming, 
of rapture I freeze, my boiling pot is steaming,
tired of despair, my wood is drying,
once so full of anger & rage, now I feel like I am dying.",0,1,0,0,0,0
anger is wood,"My anger is solid and vast
The ghosts of my present, the ghosts of my past
I can't break through the tunnel of time
My anger is vicious, my anger is mine",0,1,0,0,0,0
anger is wood,"Solid, stoney, fixed, cold,
Anger in my heart.
Wooden, dull, heavy, hard,
Until it IGNITES.",0,0,0,0,0,1
anger is wood,"immolation-
This forest of mine.
Once where there was undergrowth,
now lies bare.",0,1,0,0,0,0
anger is wood,"Tight and woven fiber in my soul,
Strong and hidden entwined does it grow.
Sturdy and fierce, but with time takes its toll,
Enraged and twisted my seedlings may I sow.",0,0,0,0,1,1
anger is wood,"There is softness in there, though you wouldn't know it
That is where the nurturing is
appearing dry and brittle, it says break me
and I will give you blood",1,0,0,0,0,0
anger is wood,"Rage filled flames fuel the fury;
On caged, chilled claims fools do worry;
Trees we once knew; charred wood we now know;
These bombs of new; tarred, nuclear snow.",0,0,0,1,1,0
anger is wood,"the anger grew, like a tree
this large, immovable object had taken root
casting shade on even the happiest parts of my life
I could let it consume me, or cut it down",0,0,0,0,0,1
anger is wood,"I was a stoic sage before we met three years ago
Her laughter thawed my thick branches of snow
But spring turned to summer and with it wildfire glow
Now my heart is kindling, in flames by all that I know",0,1,0,0,0,0
surrender is a book,"The soldier marches solemnly, his head down with fear.
His knees buckling, breath shallow, as his future looms near.
His dreams, distant, vanquished, by an enemy with a knife
His innocence gone in this blood-soaked chapter of his life.",0,1,0,0,1,0
surrender is a book,"Turning the pages, I see the record of my failures
Page after page of my giving up
I close the book, and see embossed on the cover:
""Surrender""",0,0,1,0,0,0
surrender is a book,"I did not have an option when you turned the page.
It was my give away for you to learn.
The power you had over me made the words burn into your mind.
So do not blame me, you have been forewarned.",0,1,0,0,0,0
surrender is a book,"Turning the pages, I get lost in thought
Ideas spin through my mind - reality v. the printed word
The battle rages on. Inside, the wheels turn rapidly
Then - CALM - the page has won. My mind is at ease.",0,0,1,0,0,0
surrender is a book,"A gateway to a world of unlimited possibilities,
playing an entrancing tune that is calling me,
page after page discoveries abound,
the sorcerer,the knight, the lute player and his hypnotic sound.",0,0,1,0,0,0
surrender is a book,"They said I could not do it, I didn't have the chops.
Acting lessons, reciting lines in the mirror - I pulled out all the stops.
No more wardrobe changes, no more fancy tops.
I forfeited my dreams for written word, not unlike my pops.",0,0,1,0,0,0
surrender is a book,"Don't succumb to the onslaught of reality
Shuffle the iridescent pages of your soul
Travel somewhere no one else can see
There's a grandiose world awaiting your imagination whole",0,0,1,0,0,0
surrender is a book,"When life gets tough
And you just want to get away
Grab a book and a blanket
And surrender for the day",0,0,1,0,0,0
surrender is a book,"Enough is enough 
Final curtain call
Time to hit the road
Goodbye to all",0,1,0,0,0,0
surrender is a book,"The cover swings open
My heart pounds with the words
The cover swings shut
Trying again is too absurd",0,1,1,0,0,0
compassion is blood,"My heart...
It strains for your weeping soul,
Breaks under the pressure,
And flows down my skin.",0,1,0,0,0,0
compassion is blood,"The blood is running through me
As his tears flow
My blood runs like his
We both cry at the moon",0,1,0,0,0,0
compassion is blood,"I thank you for shedding your life for me.
And I know you didn't have to be.
I know in my heart that you shouldn't have to die in vain.
To end up saving me from all of my suffering.",0,0,1,0,0,0
compassion is blood,"The men who walked, the men who wept
Who shed their blood for freedom's sake
Bestowed a gift for we who live
In Liberty, our cause to make",0,1,0,0,0,0
compassion is blood,"Our lives are intertwined, human bonds go deep as blood,
Color as profound, the emotions inundate our soul as a flood.
Through love and understanding we build strength,
Societal communion, may it ever grow in length",0,0,0,0,1,0
compassion is blood,"she does not know what i would do
for her i would see it through
all the times we can get by
forever she will be mine",1,0,0,0,0,0
compassion is blood,"Connection binds us, more similar than not.
All family, united in mutual support.
Driven by empathy, rewarded by kinship
Our future grows stronger together.",0,1,0,0,0,0
compassion is blood,"She looks to her right as her brother the outcast falls before her
She looks to her left as her sister the sibling she preferred slumped over
She looks back at her brother extending her hand to him as tears pour down her face
His eyes weak begging for her embrace she realizes that blood is thicker than water",0,1,0,0,0,0
compassion is blood,"My veins run free of love and blood 
for you, I do not know.
Compassion fills me through and through
to you I do bestow.",0,0,0,0,0,1
compassion is blood,"My heart is warm, beating, throbbing, pumping
The river of life flows through me, God-given, warm, feeling, loving
It flows through you too, loving, hating, hoping, weeping
Can you feel it in me? I feel it in you!",0,0,0,0,0,1
death is a rose,"Close to all of us a rose once grew,
Budded and blossomed in God's free light,
Now it is replaced my something new,
Because it has been killed by the blight.",0,0,1,0,0,0
death is a rose,"The petals fade towards black, draining the deep red color to dust
The thorns sharpen to a needle point, hollow but full of pain
The green withers away, leaving the bones of the stem
Death comes to each rose flower as it comes to us, taking life but leaving our beauty",0,0,1,1,0,0
death is a rose,"The sharp thorns of life's end stick
Deep into the souls of men
Wilting bodies like fallen petals
Husks blow in the winds of eternal fall",0,1,0,0,1,0
death is a rose,"Crassly hewn from stalks yet alive
Beauty stolen in remembrance
Soon forgotten by mourners
Atop the fresh-turned dirt",0,1,0,0,0,0
death is a rose,"Alone I cried, my tears went unseen.
Within I died no shoulder to lean.
God tricked my life and closed the doors,
I wish my death to be as soft as a rose.",0,0,0,0,0,1
death is a rose,"As a rose blooms
Beauty shines through colors unfaded
Shades expressed, time has passed
Petals wither & fall through the flow of life; a flower must die.",0,0,1,0,0,0
death is a rose,"Death is like a flower
Petals of life fall every hour
Do not feel sad I am wasting away
Like a flower I've blossomed everyday",0,0,0,0,0,1
death is a rose,"Lower my petals they'll rise again
to fill the valley’s fens and you
above will watch and never know
what it is to be the flower below.",0,1,0,0,0,0
death is a rose,"Death
can
be 
beautiful",0,1,0,0,0,0
death is a rose,"The bloom starts bright and beautiful,
but soon it wilts and fades,
Of vigor it is no longer full,
and passes into the shades.",0,0,1,1,0,0
peace is a rock,"Why do people fight? 
and wrong image paint? 
Is peace not just right?
For a better life without fright?",0,1,0,0,0,0
peace is a rock,"A stone not thrown, but simply cast
Into the shadows of the past.
There it will in blessed silence sleep
And the hopes and dreams of angels keep.",0,1,0,0,0,0
peace is a rock,"My heart is calm. 
The waves no longer beat along my shores
Because they cannot go beyond
The walls that I have placed.",0,1,0,0,0,0
peace is a rock,"Rugged, Jagged, and Used as a weapon. 
Marked, Surrounded and coming down us. 
A bus down on us, the rock falls. 
Dissolved into sand, it is us",0,1,1,0,0,0
peace is a rock,"Sill as a stone
down the core of the bone
stone hits the note
symphony of a rock",0,1,0,0,0,0
peace is a rock,"It gives us strength when times are bad,
It bolsters our spirit when we are sad.
That inner calm that we often feel,
Enables us to stay strong, and helps us to heal.",0,1,0,0,0,0
peace is a rock,"violence and history flow over and off me

 deeds and time smoothed my layers

from the core, will and waiting and destiny

Waiting the answers to all of your prayers",1,0,0,0,0,0
peace is a rock,"Peace is something you should expect.
Like a rock beneath your feet when you take a step.
It's calming and let's you relax.
It's the feeling of ease to the max.",0,0,0,0,0,1
peace is a rock,"Still in silence, resolute in its position
Never-bending, never-ending, ever-solid
Unmoved by elements, still against storms
Unshakeable to the core, at one with nature.",0,0,0,0,1,1
peace is a rock,"Sadness can come like the rain, a shower, a flood, then gone
Anger can come like the flow like a river, slowly, raging, then calm again
Happiness can come like a spring day, warm, bright, then darkness comes
But peace is steady like a rock, forever there, firm, and forever a foundation.",0,0,0,0,0,1
peace is a rock,"Spreading Peace is familiar, 
 Maintaining Peace is harder! 
 Struggling for Peace similar to breaking of rock,
 Sometime can be a easy or can be Tough!",0,0,0,1,0,0
peace is a rock,"I stand on this firm foundation
 Where others stood before
 Upon this rock, I stand for peace
 While others march to war.",0,0,1,1,0,0
peace is a rock,"Peace, rugged and hard it can be
 Immovable, smooth, unlike a tree
 Sometimes it is fragile, other times agile
 But one thing remains, it will always be.",0,0,0,0,0,1
peace is a rock,"Rock sits, silent, still
 
 Still aware, awake, still silent
 
 Moves slowly, watches quietly
 
 Knows many, tells few. Circles, spirals-",0,1,0,0,0,0
peace is a rock,"peace is a rock because it is beautiful
 its beauful like stars and strips",0,1,0,0,0,0
peace is a rock,"The passage of many feet ends at the sea's beginning,
 this finger of stone at the world's edge.
 There is only you, only sky, only the sun sinking
 and the cry of distant birds wheeling in early darkness.",1,0,0,0,0,0
peace is a rock,"Peace is love
 
 Peace is gold
 
 Peace is the world
 
 Piece it together, peace is strong as a rock",0,0,0,0,0,1
peace is a rock,"Peace shores us up when we need support
 Peace gives us strength when we feel weak
 It warms in the light of the sun and radiates warmth afterward in the dark.
 The rock of peace will endure and sustain us.",0,0,0,0,0,1
anger is wood,"Hard and vibrant and alive
 My anger is wood
 Dark and deep 
 And still.",0,0,0,0,0,1
anger is wood,"Anger is emotion
 Wood makes up trees
 There is no real potion
 To make one feel free",0,1,0,0,0,0
anger is wood,"Ire feeds my flame,
 as I throw another log into the conflagaration,
 I am give over to fury,
 fury that spreads its roots in me.",0,0,0,1,1,0
anger is wood,"Stubborn and unflinching, He needs you there,
 Grasping and clawing, He awaits you there,
 Bask In the these flames, He demands you there,
 Never fleeting pain, A rage always there.",0,1,0,0,0,0
anger is wood,"Wood is a place where a fire of anger can be lit like a sparrow. Both anger and fire work to light up a room. Wood is the conductor of rage, the spite that turns heads and spurs rumors. Like ants marching through itâ€™s hollow shell, wood is a source of fury.",0,0,0,1,0,0
anger is wood,"Her fury is an ancient tree
 Each ring encircling another layer of pain
 Bark darkened by veins of rage
 Limbs outstretched to protect her trunk from the rain",0,0,0,0,0,1
anger is wood,"Anger is fierce
 It burns in you like fire
 It heats you to the core
 The wood for the flame.",0,0,0,1,0,1
anger is wood,"my anger can feel like a piece of wood
 it is heavy and hard to carry
 I never felt that it was something that could
 let go of. But maybe I can let it float away",0,0,0,0,0,1
anger is wood,"Speech is hard and dark,
 the lines stretch and indent.
 Like a flame it takes a spark,
 to calm is the intent.",0,1,0,1,0,0
anger is wood,"Fury firewood
 Kindling rage
 Embers glower
 Feeling caged",0,0,0,1,1,0
surrender is a book,"People don't know,
 when you read a good book,
 you're no longer free;
 you're like a fish on a hook.",0,0,1,0,0,0
surrender is a book,"The book of my life is a dark one,
 Bound by thick skin and bold ink,
 It speaks of my victories and 
 surrenders to my tears.",0,1,0,1,0,0
surrender is a book,"Lose yourself in the mystery
 Find yourself between the lines
 Give yourself a little time
 To read, to take on, to revel in the sublime.",0,0,1,0,0,0
surrender is a book,"You take me far away.
 I long for you all day.
 I'll give my heart and soul to you
 Just tell me what to do",1,1,0,0,0,0
surrender is a book,"Open pages like hands turned up,
 Paired with a bound spine that is straight, strong, and secure.
 No matter which chapter is chosen,
 The reader must decide if the punishment fits the crime.",0,1,0,0,0,0
surrender is a book,"from the first page to the last 
 conflict etched in ink
 progress for those that think.
 yielding. resolution, acquiescence; of the past",0,1,0,0,0,0
surrender is a book,"The message is strong
 How the paper twists and turns
 The ideas are fleeing
 At no choice of their own",1,1,0,0,0,0
surrender is a book,"The pages turn, life lesson after life lesson
 The dragon of my mind screams its way
 I know how it ends. The dragon is slain
 Yet, the journey is all that matters.",0,1,0,1,0,0
surrender is a book,"Surrender is a book
 it's pages contain paragraphs of regret
 chapters of inaction
 an epilogue of defeat",0,0,0,0,0,1
compassion is blood,"His wounds were caused by me
 His sacrifice set me free
 My sins have been forgiven 
 For the compassion he has given",0,1,0,0,0,0
compassion is blood,"For kindness and love and all that is good,
 Compassion must rule the day.
 The blood in your heart, that runs through your veins,
 There's no doubt it's the righteous way.",0,0,0,0,0,1
compassion is blood,"It pours through every sweet little vein in my body, My heart continues to beat
 With blood, with love, with compassion
 It continually swells
 And I am alive, I am well",0,0,0,0,0,1
compassion is blood,"it runs through me rich and red
 it's in my cells and in my head
 taking care of everything
 life is what it will bring",0,0,0,0,1,0
compassion is blood,"I need to help
 I need to breath
 I live to care 
 Compassion is the blood flowing through my veins",0,0,0,0,0,1
compassion is blood,"blood runs through my veins
 veins are the family tree to my body
 love runs through those veins
 compassion is blood",0,0,0,0,1,0
compassion is blood,"My friendly family feels for the people,
 they work to help those in need.
 No one is to dirty or dingy,
 people are people no matter what.",0,1,0,0,0,0
compassion is blood,"The haughty man is a lonely stone,
 Believing strength is standing alone,
 Reserving himself for no one other,
 Thinking he is his own best brother.",1,0,0,0,0,0
compassion is blood,"we are all children of the universe
 needing to need, giving to give, one to another
 the stars are in our blood
 the light we shine, with compassion for our mothers and brothers",0,0,0,0,1,0
death is a rose,"With time it comes,
 it's true beauty shows,
 but death awaits,
 for everyone knows.",0,1,1,0,0,0
death is a rose,"Blossoming, bursting, beautiful, but only for a season;
 Removed, rotting, regrettable, it's dying is the reason;
 We pick and we admire but we don't think
 It fades to black from a bright and rosy pink",0,0,1,1,0,0
death is a rose,"The sanguine hue of spring long since departed
 its thorns worn blunt through test and strife
 the winter rose bleeds from our memory
 fading into ashen white",0,0,1,1,0,0
death is a rose,"Slowly, softly he wilted and died
 His life full of sharp barbs and soft velvet pedals
 He left quietly and no one cried
 Because his bloom outshone all metals",0,0,1,1,0,0
death is a rose,"loss's floral pungency not similarly beautiful
 but multi-layered expiring urgency--
 a bouquet I never ordered,
 a vase buried in lieu of being seen",0,0,0,0,1,0
death is a rose,"death has come today
 in full bloom and bright
 it takes you away
 a thorn in your side",0,0,0,1,1,0
death is a rose,"The dust on the bloom fades to a salty ash
 Slowly, all at once, a tender second quickens then relaxes
 It holds its breath - hark; release!
 The petal drops, the moment ceases.",0,1,1,0,0,0
death is a rose,"Now death fills up my tattered heartas the choking smell of the rose seethes like a corpse rotting in an unmarked grave.Misplaced, alone and confused in anger, 
 I lay upon the freshly tilled dirt, longing to smell you once again.",0,0,0,0,1,0
death is a rose,"A rose flourishes and radiates beauty
 The sweet fragrance swirls in the air
 In time it shrivels and becomes dust
 Death in one of its forms",0,0,1,1,0,0
death is a rose,"Beautiful and painful
 Delicate and sharp
 Colorful and then black
 My petals slowly fall to the ground",0,0,1,1,0,0
peace is a rock,"Peace offers a foundation
 Peace delivers something solid beautiful.
 Peace is a resting place for those whom have tumbled 
 Peace can soften the hardest of men.",0,0,0,0,0,1
peace is a rock,"""Warships""
 
 Warships turn toward troubled seas
 Leaving flags to burn amid muffled pleas 
 The land will stand firm and rise above
 With peace eternal and enduring love",0,1,0,0,0,0
immortality is a room,"These walls of everlasting strength,
Will never crumble through the quake.
With their sides of equal length,
They will stand when we wake.",0,1,1,0,0,0
immortality is a room,"He undressed in front of me.
I could hear his heartbeat.
It warmed up that cold room.
It put me on my knee.",1,1.00,0.00,0.00,0.00,0.00
immortality is a room,"Sitting in the room alone
Alone without a fear to loom
Fearful of nothing but death itself
Living forever because itself is myself",0.00,1.00,0.00,0.00,1.00,0.00
immortality is a room,"forever is a bounded void
a void not seen or spoken
not to be toyed
requires more than a limb or token",0.00,1.00,0.00,0.00,1.00,0.00
immortality is a room,"We all have a place inside of us
A room, if you will
One in which we all choose how to fill
If you tend to let things go one way, this room can become dark and cold

A place others may find to be somewhere in which they refuse to stay
A place distant or far away

Somewhere between what is considered right or wrong",0.00,1.00,0.00,0.00,0.00,0.00
immortality is a room,"Locked away, forever I stay
Bound and chained by the power I've gained
Never to cease, never to die
Forever in this life, I cry",0.00,1.00,0.00,1.00,0.00,0.00
immortality is a room,"Above me, below me, love, hate,
They hold me in perpetual stillness,
This never ends, the heat, the cold,
I am still. There are no windows for relief.",0.00,0.00,0.00,0.00,1.00,1.00
immortality is a room,"Alone, alone, alone, alone
Surrounded by nothing on four sides
Stretching endlessly outward in constant implosion
Forever.",0,1,0,0,0,1
immortality is a room,"Its difficult to enter, and small is the room.
No one can enter from the outside
So we're all consumed by our doom
And have nothing left but our pride.",0,1,0,0,0,0
hope is a ship,"Hope is something much needed to one to whom all paths have been lost.
It's very crucial to one drowning that a life vest is tossed. 
Yes, it's easy to get down and give up on life as a trip.
But having this thing we call hope is more like being saved by a ship.",1,1,0,0,0,0
hope is a ship,"wish to get away
think to travel far
sail on to new places
your dreams will go far",0.00,0.00,0.00,0.00,0.00,1.00
hope is a ship,The ship that takes you away,0.00,0.00,0.00,0.00,0.00,0.00
hope is a ship,"hope can be slippery,
just as a ship
never get jittery'
when it stops being hip.",0,0,0,0,1,0
hope is a ship,"If the color yellow could sink or swim
then clouds of mercy would take us in
If there were ever a chance
then this sail would dance.",0,1,0,0,1,0
hope is a ship,"hope sailing, moving
I keep navigating
anchored my ship but not the destination
A glimpse of the horizon, through storms and strong tides
Until I arrived.",0,0,0,0,0,1
hate is a mist,"""be careful who you hate. it might be someone Love.""
its easy to hate people
for things you dont understand.
i know, i have been on both ends(...)",0,1,0,0,0,0
hate is a mist,"Hate is a mist
It floats through the air
Spreading everywhere
Covering all that there is",0,0,0,0,0,1
hate is a mist,"hatred is never justified,
like the mist.
don't get people petrified,
throwing your fist.",0,0,0,0,1,0
hate is a mist,"He spits at me with fiery tongues,
his fists with betrayal, his eyes with loathing.
The love we knew turned to thick, toxic vapor,
and now we sit in its mist.",0,0,0,0,0,1
hate is a mist,"Hate is black and reminds us of what we lack
It is like a poison fog that surrounds our souls
Hindering us from reaching our goals 
To those who hate, I say let it go. Rely on fate before it’s too late.",0,0,0,0,0,1
hate is a mist,"Ancient grievance, when will you fade?
My vision and life obscured by hate,
It feels like carrying a sodden weight
Through mist and fog that I have made.",0,0,0,0,1,0
hate is a mist,"Surrounded by an angry fog,
The kind that fits as snug as clothes,
It turns near every dialogue,
Into discourse with whom I loathe.",0,0,1,0,1,0
hate is a mist,"It flows all around you.
It touches every adam of your soul
It starts out as just a droplet and then
it is hate as a mist.",0,0,0,0,0,1
hate is a mist,"Hate and discontent spray over them all
Contaminating them with fear, anger, emotion
The hate envelops their souls
Taking away their love they once made",0,0,0,0,0,1
grace is a garden,"In the green, does my soft willow await
Her hands outstretched in open embrace
Her delicate feet like fresh shorn grass
A damn shame her face looks like that",0,1,0,0,1,0
grace is a garden,"Gentility needs no pardon
It's supple fruits display
Soft and graceful adorn
Shines bright as day",0,1,0,0,1,0
grace is a garden,"Life can be calm like a sunny field
Or rough like the sea
Do what you can to stay in rays of the sun
Live like the world is your garden",0,1,0,1,0,0
grace is a garden,"A roses blooms
as it captures the sun's glow;
Vibrant red in the sun's light
Reminder that the day near; 
The rose is surrounded by a garden of life
Awaking to greet a new day;
The garden is full of peace, 
As the rose leads the way to a new day",0,1,0,1,0,0
grace is a garden,"In the face of frustration or an angry face
What we always have with us is our grace
Especially when the situation makes us want to go
These are the times that our grace will grow",0,0,0,0,0,1
grace is a garden,"My buds are small but make a racket.
The showers of spring bring the thunder of youth.
My buzzing workers spread the life of experience.
My brightest flowers are still with truth.",0,1,0,1,0,0
grace is a garden,"There is life but plants are waking up with a yawn and a stretch and a touch to the snooze alarm.
If you have not started seeds for your garden yet this year, you are thinking about it.  The thrill starts when you open that seed catalog and start dreaming.",0,1,0,0,0,0
grace is a garden,"grace is beautiful..
like a garden.
she can be plentiful,
but she is modern.",0,0,0,0,1,0
grace is a garden,She was like a bounty of flowers .  So beautiful   she was that men cried when they saw her.  But Grace is no more gone like a burning rope. Only like a  vague  winter memory of summer flowers..,0,1,0,0,1,0
god is a breath,"Like wind through the trees
The beating wings of bees
Lifted above life's shifting sand
The breath of God love's spirit is fanned",0,0,1,0,0,0
god is a breath,"As I lay here
I feel my breath, In, Out, In
I am in my part of the universe
God is in his, I am God",0,0,1,0,1,0
god is a breath,"He's a cool gentle breeze,
That rustles through the trees,
Life can be found,
When we just look around.",0,0,0,1,0,0
god is a breath,"Just being in your presence ...
Refreshes and renews me...
Just like a breath of heaven...
Made by God Above..

God breathed 
into his nostrils 
the breath of life,
And the man became a living being.",0,0,1,0,0,0
god is a breath,"Divinity on the wind,
Feeling warm in frigid air,
I walk with the sacred breeze
Weaving gently through my hair.",0,0,0,1,0,0
god is a breath,"Out of the black, a breath of blue
curling, traveling, to kiss atoms gently awake.
They stretch, far and bright, welcoming life,
to build the image of their maker.",0,0,0,0,1,0
god is a breath,"When at a time in your life you are in a lonely place
And you feel you just don't belong
Judging by the look on your face
You raise your head and look around realizing God was beside you all along",0,1,0,0,0,0
god is a breath,"When the veil of love surrounds you
And the world may be unkind
I'll place my loving arms around you
And take you far from this place and time

this has always been in my mind, think I've heard it before, but now sure where, just seems beautiful and to me, can be used in this context, God speaking inwardly to someone, or that someone feeling Him, to them... saying in affect, when you know you love Me and you are unhappy with all about you (also in the context of one considering assisted suicide, I could imagine), I will take you to Me.",0,1,0,0,0,0
god is a breath,"When I feel far from God,
There is a special thing that I do,
I take a very deep breath!
He gave it also to you.",0,1,0,0,1,0
immortality is a room,"Life's never ending, inside these four walls.
Always on the edge.  Don't drop the balls.
Inside these four walls, life's never ending.
Always moving, bouncing and bending.",0,0,0,1,1,0
immortality is a room,"Walls closing in, time coming to an end
Is there a way out, a window, a door
no there is nothing there, nothing more
Just sit here and wait, nothing left to amend",0,0,0,0,1,0
immortality is a room,"Immortality is isolation, alone in a room.
Nothing but frustration, longing for a tomb.
Trapped in a box that is safe and warm.
Wishing for death, and  seeking out harm.",0,0,0,0,0,1
immortality is a room,"A room look like a immortal
If it does the things on natural
people on the room say the truth
And love to one another with portal
A room look like a immortal.",0,0,0,0,1,0
immortality is a room,"immortality has four walls,
it is confined and constrained.
death is endless and infinite.
which scares you more?",0,0,0,0,1,0
immortality is a room,"Immortality lies just down the hall
The path to it is not easy to find
To only a few does it send out a call
The answer to which lies deep in one's mind.",0,0,0,0,0,1
immortality is a room,"When I am inside my room
I look outside at open fields
These four walls feel like a tomb
Where I will eat my one last meal",0,1,0,0,1,0
immortality is a room,"Stuck in a place that feels like a doom
It seems I've been here forever, leaving no time soon
As time keeps ticking, days go by
I realize I must rise form the doom, my life will never die!",0,1,0,0,0,0
immortality is a room,"Boxed in, four corners
Hands up, in horror
No warning, no time
In this room, I'm alive",0,1,0,0,0,0
immortality is a room,"Immortality is a room, that we can't see.
But do we carry, is it certain doom?
Everlasting life and constrained without a tomb.
Can it be escaped and be made right?
Will we beg for terminal age and an end of light?",0,0,0,0,1,0
hope is a ship,"Hope feels like a ship
I feel like eating chips and dip
Hope feels like a ship
I want to go dip in the water",0,1,0,0,1,0
hope is a ship,"A sheltered place in the storm
My voyage for adventure born
A conquest on the waters torn
To home and love, my heart is warm",0,1,0,0,1,0
hope is a ship,"Hope is the craft, that carries me to shore.
Hope is the water that guides me across the ocean.
Hope is the waves that crash against the rocks.
Hope is the key, that helps me break the locks.",0,0,0,0,0,1
hope is a ship,"My dreams are secure in you
riding the waves of this life.
Knowing one day 
we both will dock and see the light",0,0,0,1,0,0
hope is a ship,"Hope is a ship in which we sail
 When the winds blow our way
On a beautiful day Id love to say
That the wind will blow our way",0,0,0,0,0,1
hope is a ship,"The longing for those beyond the horizon
The desire for land to lay eyes on
The passion for places to explore
The faith that the sea holds more",0,0,1,0,1,0
hope is a ship,"We dream of things we want to be
and by hard work our ideas will sail
never giving in to doubt or worry
in our dreams we vision that our wishes will come true
even if the voyage to reach our destiny is rough
the vessel we call our brains will carry us through
we hope within our hearts we can do this even though the sails are tough
we are built to make it",0,0,0,1,0,1
hope is a ship,"All aboard, 
Today at dock,
Tonight under the stars,
Tomorrow we rock.",0,1,0,0,0,0
hate is a mist,"This cold feeling surrounds my total world
I am overcome by the chilling swirl. 
I see nothing but this bold, blinding cloud 
Beyond my control - I cry out loud.",0,0,0,0,0,1
hate is a mist,"twisting into a knot of spite
negativity hardens a broken heart
let go of the dark and seize the light
tangled vines of hate soon fall apart",0,1,0,0,0,0
hate is a mist,"The disgust of the rain that clouds my window pain
As visions of you cloud my memory
Makes me bitter and broken
Like a fog that only I can see",0,0,0,0,0,1
hate is a mist,"Hatred is growing inside me
Broken and I cannot see.
Your words are like a sharpened knife
Please release me and give back my life.",0,1,0,0,0,0
hate is a mist,"Love is kind and gentle
But never forget
That along comes hate
Like an unexpected mist",0,0,0,0,1,0
hate is a mist,I wish in moonlight that stars came here instead of being there.that day i will feel full of warm and no more tears will fall from my face.that day i will feel full of joy and hopes and try to fulfill all the hopes,1,1,0,0,0,0
hate is a mist,"Oh how at first you burn so brightly
Only to disappear into the air.
Reaching the skies above
Where only one truly cares.",0,0,0,0,1,0
hate is a mist,"Hate is a mist
In a world of darkness
There is no light
For many people are lost
And not one can be saved",0,0,0,0,0,1
hate is a mist,"My anger, it coats the world
Like the morning fog
Or the drizzle of June
Death. Soon.",0,0,0,0,0,1
hate is a mist,"comes as it wills
goes as it wills 
don't trouble young man
see, and step aside",1,1,0,0,0,0
grace is a garden,"Through flower and field, through thorn and thicket
she blissfully strides, her fairness flaunting about.
Her beauty, her splendor, her grandeur, her beauty
echoes in the trees which line her route.",0,0,1,1,0,0
grace is a garden,"Grace is a garden.
The gentle petals gleaming with dew.
Each step fragile.
Do not misstep.",0,0,0,0,1,0
grace is a garden,"Colorful blossoms with their cheerful faces following the sun,
Skyward they reach, every single one.
When at day's end their yearning for glorious light is done,
Gently they look down to the ground once again.",0,1,0,0,0,0
grace is a garden,"lilting scents of earth and flower,
round the edges of my wandering mind,
peace nuzzles at the sparkling glade,
while leaves drift on the breeze like down",0,1,0,0,0,0
grace is a garden,"Refreshing and lively to my soul,
A place of peace to my mind,
Blooming with candor,
An air of finesse.",0,0,0,0,0,1
grace is a garden,"A little slice of heaven, to those who venture near,
Perhaps to bend and take a sniff of flowers everywhere.
Sometimes they visit quickly, while others seek her peace,
Her beauty is a sanctuary, for most worries release.",0,1,0,0,1,0
grace is a garden,"Running to and fro without a care in the world,
Seeing your face glisten with delight.
Giving me the room to be who I am
While loving who you are in this open beautiful space.",0,1,0,0,1,0
grace is a garden,"A garden is a place where my troubles go away.
Where stress washes into the mulch and soil in the flower bed.
When i'm there I can honestly say
My life is pure and me and God and talking in my head.",0,1,1,0,0,0
grace is a garden,"Peaceful garden,
Filled with his pardon
love grows here
bringing cheer daily as we walk in his grace,
Believer's dwelling place.",0,0,0,0,0,1
god is a breath,"God is a breath, he brings life to every kind of creatures.
We all live because God is a breath.
God has brought all life to Earth and we live because God is a breath.
God is a breath of fresh air everywhere we go on the planet.",0,0,0,0,0,1
god is a breath,"God is Life, God is Hope, In rough times of life you need God to cope.
God can see, God can hear, You always call upon him in times of despair.
God is Mighty and God is strong, we sing and rejoice in prayer and song.
God loves me and God loves you, Making God happy is what we all should do.",0,1,0,0,0,0
god is a breath,"Air into my lungs...bringing with it the essence of life
Life is the higher power which defines us and the universe
Once within us the highest of high powers rules all
Always there, always being replenished",0,0,0,0,0,1
god is a breath,"The light shines from the heavens above
Those who have fallen feel warmth
The light lifts the abandoned above the darkness
Able to see the light; bathed in love; born again",0,1,0,0,0,0
god is a breath,You inhale God into your being.,0,0,0,0,1,0
god is a breath,"God is inhalation and exhalation,
The gentle tide of breathing 
Which is life inside your soul, 
Love inside your heart.",0,0,0,0,1,0
god is a breath,"When you take a deep breath he take a deep breath.
He is the man above who should be loved by everyone else.
He is in the skies in a incredible man.
God is amazing, he is a breath, and I hope you understand.",0,0,0,0,1,0
god is a breath,"The air I breathe,
The song that I sing,
The atmosphere around me,
Is my God, my King.",0,0,0,0,1,0
god is a breath,"The lord breathes life in to us all
The warm breath creates our soul,
It gives us hope in our lives
It guides us to our final goal.",0,0,1,0,1,0
god is a breath,"Spiritual inhalation
He is now within
Internal restoration
Exhale, then inhale again",0,0,0,0,1,0